periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Total under five Diarrhoea cases reported
202201,January 2022,202201,,mYZacFNIB3h,Nyandarua County,KE_County_18,,820.0
202201,January 2022,202201,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1456.0
202201,January 2022,202201,,o36zCRjSd4G,Samburu County,KE_County_25,,1911.0
202201,January 2022,202201,,u4t9H8XyU9P,Siaya County,KE_County_41,,3706.0
202201,January 2022,202201,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,954.0
202201,January 2022,202201,,JsH2bnvNt2d,Tana River County,KE_County_4,,3324.0
202201,January 2022,202201,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,1342.0
202201,January 2022,202201,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1583.0
202201,January 2022,202201,,kphDeKClFch,Turkana County,KE_County_23,,6527.0
202201,January 2022,202201,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,3588.0
202201,January 2022,202201,,sANMZ3lpqGs,Vihiga County,KE_County_38,,954.0
202201,January 2022,202201,,CeLsrJOH0g9,Wajir County,KE_County_8,,3897.0
202201,January 2022,202201,,XWALbfAPa6n,West Pokot County,KE_County_24,,2710.0
202101,January 2021,202101,,vvOK1BxTbet,Baringo County,KE_County_30,,895.0
202101,January 2021,202101,,HMNARUV2CW4,Bomet County,KE_County_36,,4255.0
202101,January 2021,202101,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2045.0
202101,January 2021,202101,,Tvf1zgVZ0K4,Busia County,KE_County_40,,514.0
202101,January 2021,202101,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1881.0
202101,January 2021,202101,,PFu8alU2KWG,Embu County,KE_County_14,,384.0
202101,January 2021,202101,,uyOrcHZBpW0,Garissa County,KE_County_7,,1514.0
202101,January 2021,202101,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,837.0
202101,January 2021,202101,,bzOfj0iwfDH,Isiolo County,KE_County_11,,892.0
202101,January 2021,202101,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,2690.0
202101,January 2021,202101,,BjC1xL40gHo,Kakamega County,KE_County_37,,2044.0
202101,January 2021,202101,,ihZsJ8alvtb,Kericho County,KE_County_35,,1034.0
202101,January 2021,202101,,qKzosKQPl6G,Kiambu County,KE_County_22,,3274.0
202101,January 2021,202101,,nrI2khZx3d0,Kilifi County,KE_County_3,,2960.0
202101,January 2021,202101,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2804.0
202101,January 2021,202101,,sPkRcDvhGWA,Kisii County,KE_County_45,,678.0
202101,January 2021,202101,,tAbBVBbueqD,Kisumu County,KE_County_42,,2580.0
202101,January 2021,202101,,j8o6iO4Njsi,Kitui County,KE_County_15,,928.0
202101,January 2021,202101,,N7YETT3A9r1,Kwale County,KE_County_2,,544.0
202101,January 2021,202101,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1647.0
202101,January 2021,202101,,NjWSbQTwys4,Lamu County,KE_County_5,,530.0
202101,January 2021,202101,,yhCUgGcCcOo,Machakos County,KE_County_16,,3631.0
202101,January 2021,202101,,BoDytkJQ4Qi,Makueni County,KE_County_17,,1508.0
202101,January 2021,202101,,R6f9znhg37c,Mandera County,KE_County_9,,5216.0
202101,January 2021,202101,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1947.0
202101,January 2021,202101,,Y52XNJ50hYb,Meru County,KE_County_12,,1132.0
202101,January 2021,202101,,fVra3Pwta0Q,Migori County,KE_County_44,,1002.0
202101,January 2021,202101,,wsBsC6gjHvn,Mombasa County,KE_County_1,,1734.0
202101,January 2021,202101,,ahwTMNAJvrL,Muranga County,KE_County_21,,2158.0
202101,January 2021,202101,,jkG3zaihdSs,Nairobi County,KE_County_47,,6598.0
202101,January 2021,202101,,ob6SxuRcqU4,Nakuru County,KE_County_32,,7620.0
202101,January 2021,202101,,t0J75eHKxz5,Nandi County,KE_County_29,,843.0
202101,January 2021,202101,,kqJ83J2D72s,Narok County,KE_County_33,,2827.0
202101,January 2021,202101,,uepLTG8wGWJ,Nyamira County,KE_County_46,,597.0
202101,January 2021,202101,,mYZacFNIB3h,Nyandarua County,KE_County_18,,909.0
202101,January 2021,202101,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1483.0
202101,January 2021,202101,,o36zCRjSd4G,Samburu County,KE_County_25,,1630.0
202101,January 2021,202101,,u4t9H8XyU9P,Siaya County,KE_County_41,,912.0
202101,January 2021,202101,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,251.0
202101,January 2021,202101,,JsH2bnvNt2d,Tana River County,KE_County_4,,1670.0
202101,January 2021,202101,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,1045.0
202101,January 2021,202101,,mThvosEflAU,Trans Nzoia County,KE_County_26,,704.0
202101,January 2021,202101,,kphDeKClFch,Turkana County,KE_County_23,,5409.0
202101,January 2021,202101,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,3859.0
202101,January 2021,202101,,sANMZ3lpqGs,Vihiga County,KE_County_38,,198.0
202101,January 2021,202101,,CeLsrJOH0g9,Wajir County,KE_County_8,,2146.0
202101,January 2021,202101,,XWALbfAPa6n,West Pokot County,KE_County_24,,2371.0
202102,February 2021,202102,,vvOK1BxTbet,Baringo County,KE_County_30,,1599.0
202102,February 2021,202102,,HMNARUV2CW4,Bomet County,KE_County_36,,3691.0
202102,February 2021,202102,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3582.0
202102,February 2021,202102,,Tvf1zgVZ0K4,Busia County,KE_County_40,,737.0
202102,February 2021,202102,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2734.0
202102,February 2021,202102,,PFu8alU2KWG,Embu County,KE_County_14,,768.0
202102,February 2021,202102,,uyOrcHZBpW0,Garissa County,KE_County_7,,1716.0
202102,February 2021,202102,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1859.0
202102,February 2021,202102,,bzOfj0iwfDH,Isiolo County,KE_County_11,,950.0
202102,February 2021,202102,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,4175.0
202102,February 2021,202102,,BjC1xL40gHo,Kakamega County,KE_County_37,,3444.0
202102,February 2021,202102,,ihZsJ8alvtb,Kericho County,KE_County_35,,3125.0
202102,February 2021,202102,,qKzosKQPl6G,Kiambu County,KE_County_22,,4954.0
202102,February 2021,202102,,nrI2khZx3d0,Kilifi County,KE_County_3,,4498.0
202102,February 2021,202102,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,1902.0
202102,February 2021,202102,,sPkRcDvhGWA,Kisii County,KE_County_45,,1325.0
202102,February 2021,202102,,tAbBVBbueqD,Kisumu County,KE_County_42,,2177.0
202102,February 2021,202102,,j8o6iO4Njsi,Kitui County,KE_County_15,,2523.0
202102,February 2021,202102,,N7YETT3A9r1,Kwale County,KE_County_2,,2725.0
202102,February 2021,202102,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1426.0
202102,February 2021,202102,,NjWSbQTwys4,Lamu County,KE_County_5,,823.0
202102,February 2021,202102,,yhCUgGcCcOo,Machakos County,KE_County_16,,4122.0
202102,February 2021,202102,,BoDytkJQ4Qi,Makueni County,KE_County_17,,3302.0
202102,February 2021,202102,,R6f9znhg37c,Mandera County,KE_County_9,,3894.0
202102,February 2021,202102,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1792.0
202102,February 2021,202102,,Y52XNJ50hYb,Meru County,KE_County_12,,2529.0
202102,February 2021,202102,,fVra3Pwta0Q,Migori County,KE_County_44,,1281.0
202102,February 2021,202102,,wsBsC6gjHvn,Mombasa County,KE_County_1,,2306.0
202102,February 2021,202102,,ahwTMNAJvrL,Muranga County,KE_County_21,,2143.0
202102,February 2021,202102,,jkG3zaihdSs,Nairobi County,KE_County_47,,9130.0
202102,February 2021,202102,,ob6SxuRcqU4,Nakuru County,KE_County_32,,7304.0
202102,February 2021,202102,,t0J75eHKxz5,Nandi County,KE_County_29,,1763.0
202102,February 2021,202102,,kqJ83J2D72s,Narok County,KE_County_33,,2510.0
202102,February 2021,202102,,uepLTG8wGWJ,Nyamira County,KE_County_46,,784.0
202102,February 2021,202102,,mYZacFNIB3h,Nyandarua County,KE_County_18,,947.0
202102,February 2021,202102,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1384.0
202102,February 2021,202102,,o36zCRjSd4G,Samburu County,KE_County_25,,1704.0
202102,February 2021,202102,,u4t9H8XyU9P,Siaya County,KE_County_41,,1292.0
202102,February 2021,202102,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,255.0
202102,February 2021,202102,,JsH2bnvNt2d,Tana River County,KE_County_4,,1834.0
202102,February 2021,202102,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,940.0
202102,February 2021,202102,,mThvosEflAU,Trans Nzoia County,KE_County_26,,732.0
202102,February 2021,202102,,kphDeKClFch,Turkana County,KE_County_23,,6372.0
202102,February 2021,202102,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,5442.0
202102,February 2021,202102,,sANMZ3lpqGs,Vihiga County,KE_County_38,,247.0
202102,February 2021,202102,,CeLsrJOH0g9,Wajir County,KE_County_8,,1969.0
202102,February 2021,202102,,XWALbfAPa6n,West Pokot County,KE_County_24,,2477.0
202103,March 2021,202103,,vvOK1BxTbet,Baringo County,KE_County_30,,2331.0
202103,March 2021,202103,,HMNARUV2CW4,Bomet County,KE_County_36,,2582.0
202103,March 2021,202103,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3464.0
202103,March 2021,202103,,Tvf1zgVZ0K4,Busia County,KE_County_40,,2147.0
202103,March 2021,202103,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2783.0
202103,March 2021,202103,,PFu8alU2KWG,Embu County,KE_County_14,,1160.0
202103,March 2021,202103,,uyOrcHZBpW0,Garissa County,KE_County_7,,1362.0
202103,March 2021,202103,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,2331.0
202103,March 2021,202103,,bzOfj0iwfDH,Isiolo County,KE_County_11,,788.0
202103,March 2021,202103,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,5548.0
202103,March 2021,202103,,BjC1xL40gHo,Kakamega County,KE_County_37,,4281.0
202103,March 2021,202103,,ihZsJ8alvtb,Kericho County,KE_County_35,,3136.0
202103,March 2021,202103,,qKzosKQPl6G,Kiambu County,KE_County_22,,6831.0
202103,March 2021,202103,,nrI2khZx3d0,Kilifi County,KE_County_3,,8612.0
202103,March 2021,202103,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2095.0
202103,March 2021,202103,,sPkRcDvhGWA,Kisii County,KE_County_45,,2376.0
202103,March 2021,202103,,tAbBVBbueqD,Kisumu County,KE_County_42,,3747.0
202103,March 2021,202103,,j8o6iO4Njsi,Kitui County,KE_County_15,,2443.0
202103,March 2021,202103,,N7YETT3A9r1,Kwale County,KE_County_2,,3256.0
202103,March 2021,202103,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1509.0
202103,March 2021,202103,,NjWSbQTwys4,Lamu County,KE_County_5,,710.0
202103,March 2021,202103,,yhCUgGcCcOo,Machakos County,KE_County_16,,4118.0
202103,March 2021,202103,,BoDytkJQ4Qi,Makueni County,KE_County_17,,2889.0
202103,March 2021,202103,,R6f9znhg37c,Mandera County,KE_County_9,,4608.0
202103,March 2021,202103,,Eey8fT4Im3y,Marsabit County,KE_County_10,,2200.0
202103,March 2021,202103,,Y52XNJ50hYb,Meru County,KE_County_12,,2728.0
202103,March 2021,202103,,fVra3Pwta0Q,Migori County,KE_County_44,,3171.0
202103,March 2021,202103,,wsBsC6gjHvn,Mombasa County,KE_County_1,,3948.0
202103,March 2021,202103,,ahwTMNAJvrL,Muranga County,KE_County_21,,1860.0
202103,March 2021,202103,,jkG3zaihdSs,Nairobi County,KE_County_47,,10302.0
202103,March 2021,202103,,ob6SxuRcqU4,Nakuru County,KE_County_32,,7239.0
202103,March 2021,202103,,t0J75eHKxz5,Nandi County,KE_County_29,,2008.0
202103,March 2021,202103,,kqJ83J2D72s,Narok County,KE_County_33,,2227.0
202103,March 2021,202103,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1011.0
202103,March 2021,202103,,mYZacFNIB3h,Nyandarua County,KE_County_18,,1217.0
202103,March 2021,202103,,ptWVfaCIdVx,Nyeri County,KE_County_19,,1407.0
202103,March 2021,202103,,o36zCRjSd4G,Samburu County,KE_County_25,,2070.0
202103,March 2021,202103,,u4t9H8XyU9P,Siaya County,KE_County_41,,2120.0
202103,March 2021,202103,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,659.0
202103,March 2021,202103,,JsH2bnvNt2d,Tana River County,KE_County_4,,1688.0
202103,March 2021,202103,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,1094.0
202103,March 2021,202103,,mThvosEflAU,Trans Nzoia County,KE_County_26,,2135.0
202103,March 2021,202103,,kphDeKClFch,Turkana County,KE_County_23,,6862.0
202103,March 2021,202103,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,6813.0
202103,March 2021,202103,,sANMZ3lpqGs,Vihiga County,KE_County_38,,816.0
202103,March 2021,202103,,CeLsrJOH0g9,Wajir County,KE_County_8,,2346.0
202103,March 2021,202103,,XWALbfAPa6n,West Pokot County,KE_County_24,,2179.0
202104,April 2021,202104,,vvOK1BxTbet,Baringo County,KE_County_30,,1847.0
202104,April 2021,202104,,HMNARUV2CW4,Bomet County,KE_County_36,,2336.0
202104,April 2021,202104,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2886.0
202104,April 2021,202104,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1465.0
202104,April 2021,202104,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1867.0
202104,April 2021,202104,,PFu8alU2KWG,Embu County,KE_County_14,,762.0
202104,April 2021,202104,,uyOrcHZBpW0,Garissa County,KE_County_7,,1756.0
202104,April 2021,202104,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1422.0
202104,April 2021,202104,,bzOfj0iwfDH,Isiolo County,KE_County_11,,734.0
202104,April 2021,202104,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,3370.0
202104,April 2021,202104,,BjC1xL40gHo,Kakamega County,KE_County_37,,3713.0
202104,April 2021,202104,,ihZsJ8alvtb,Kericho County,KE_County_35,,2340.0
202104,April 2021,202104,,qKzosKQPl6G,Kiambu County,KE_County_22,,4226.0
202104,April 2021,202104,,nrI2khZx3d0,Kilifi County,KE_County_3,,6005.0
202104,April 2021,202104,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,1504.0
202104,April 2021,202104,,sPkRcDvhGWA,Kisii County,KE_County_45,,1835.0
202104,April 2021,202104,,tAbBVBbueqD,Kisumu County,KE_County_42,,2491.0
202104,April 2021,202104,,j8o6iO4Njsi,Kitui County,KE_County_15,,1746.0
202104,April 2021,202104,,N7YETT3A9r1,Kwale County,KE_County_2,,2541.0
202104,April 2021,202104,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1001.0
202104,April 2021,202104,,NjWSbQTwys4,Lamu County,KE_County_5,,603.0
202104,April 2021,202104,,yhCUgGcCcOo,Machakos County,KE_County_16,,2848.0
202104,April 2021,202104,,BoDytkJQ4Qi,Makueni County,KE_County_17,,1900.0
202104,April 2021,202104,,R6f9znhg37c,Mandera County,KE_County_9,,4479.0
202104,April 2021,202104,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1726.0
202104,April 2021,202104,,Y52XNJ50hYb,Meru County,KE_County_12,,2356.0
202104,April 2021,202104,,fVra3Pwta0Q,Migori County,KE_County_44,,3093.0
202104,April 2021,202104,,wsBsC6gjHvn,Mombasa County,KE_County_1,,2667.0
202104,April 2021,202104,,ahwTMNAJvrL,Muranga County,KE_County_21,,1137.0
202104,April 2021,202104,,jkG3zaihdSs,Nairobi County,KE_County_47,,8168.0
202104,April 2021,202104,,ob6SxuRcqU4,Nakuru County,KE_County_32,,4825.0
202104,April 2021,202104,,t0J75eHKxz5,Nandi County,KE_County_29,,1529.0
202104,April 2021,202104,,kqJ83J2D72s,Narok County,KE_County_33,,2211.0
202104,April 2021,202104,,uepLTG8wGWJ,Nyamira County,KE_County_46,,849.0
202104,April 2021,202104,,mYZacFNIB3h,Nyandarua County,KE_County_18,,754.0
202104,April 2021,202104,,ptWVfaCIdVx,Nyeri County,KE_County_19,,822.0
202104,April 2021,202104,,o36zCRjSd4G,Samburu County,KE_County_25,,1639.0
202104,April 2021,202104,,u4t9H8XyU9P,Siaya County,KE_County_41,,1514.0
202104,April 2021,202104,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,604.0
202104,April 2021,202104,,JsH2bnvNt2d,Tana River County,KE_County_4,,1193.0
202104,April 2021,202104,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,758.0
202104,April 2021,202104,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1735.0
202104,April 2021,202104,,kphDeKClFch,Turkana County,KE_County_23,,7586.0
202104,April 2021,202104,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,5115.0
202104,April 2021,202104,,sANMZ3lpqGs,Vihiga County,KE_County_38,,563.0
202104,April 2021,202104,,CeLsrJOH0g9,Wajir County,KE_County_8,,2610.0
202104,April 2021,202104,,XWALbfAPa6n,West Pokot County,KE_County_24,,2426.0
202105,May 2021,202105,,vvOK1BxTbet,Baringo County,KE_County_30,,2131.0
202105,May 2021,202105,,HMNARUV2CW4,Bomet County,KE_County_36,,2201.0
202105,May 2021,202105,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3033.0
202105,May 2021,202105,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1719.0
202105,May 2021,202105,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1690.0
202105,May 2021,202105,,PFu8alU2KWG,Embu County,KE_County_14,,961.0
202105,May 2021,202105,,uyOrcHZBpW0,Garissa County,KE_County_7,,1828.0
202105,May 2021,202105,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1352.0
202105,May 2021,202105,,bzOfj0iwfDH,Isiolo County,KE_County_11,,922.0
202105,May 2021,202105,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,3612.0
202105,May 2021,202105,,BjC1xL40gHo,Kakamega County,KE_County_37,,4701.0
202105,May 2021,202105,,ihZsJ8alvtb,Kericho County,KE_County_35,,1612.0
202105,May 2021,202105,,qKzosKQPl6G,Kiambu County,KE_County_22,,4929.0
202105,May 2021,202105,,nrI2khZx3d0,Kilifi County,KE_County_3,,8403.0
202105,May 2021,202105,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2195.0
202105,May 2021,202105,,sPkRcDvhGWA,Kisii County,KE_County_45,,1886.0
202105,May 2021,202105,,tAbBVBbueqD,Kisumu County,KE_County_42,,3336.0
202105,May 2021,202105,,j8o6iO4Njsi,Kitui County,KE_County_15,,1809.0
202105,May 2021,202105,,N7YETT3A9r1,Kwale County,KE_County_2,,3263.0
202105,May 2021,202105,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1318.0
202105,May 2021,202105,,NjWSbQTwys4,Lamu County,KE_County_5,,615.0
202105,May 2021,202105,,yhCUgGcCcOo,Machakos County,KE_County_16,,3724.0
202105,May 2021,202105,,BoDytkJQ4Qi,Makueni County,KE_County_17,,2170.0
202105,May 2021,202105,,R6f9znhg37c,Mandera County,KE_County_9,,5625.0
202105,May 2021,202105,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1877.0
202105,May 2021,202105,,Y52XNJ50hYb,Meru County,KE_County_12,,2121.0
202105,May 2021,202105,,fVra3Pwta0Q,Migori County,KE_County_44,,2067.0
202105,May 2021,202105,,wsBsC6gjHvn,Mombasa County,KE_County_1,,3909.0
202105,May 2021,202105,,ahwTMNAJvrL,Muranga County,KE_County_21,,1423.0
202105,May 2021,202105,,jkG3zaihdSs,Nairobi County,KE_County_47,,9616.0
202105,May 2021,202105,,ob6SxuRcqU4,Nakuru County,KE_County_32,,5187.0
202105,May 2021,202105,,t0J75eHKxz5,Nandi County,KE_County_29,,1320.0
202105,May 2021,202105,,kqJ83J2D72s,Narok County,KE_County_33,,2201.0
202105,May 2021,202105,,uepLTG8wGWJ,Nyamira County,KE_County_46,,888.0
202105,May 2021,202105,,mYZacFNIB3h,Nyandarua County,KE_County_18,,664.0
202105,May 2021,202105,,ptWVfaCIdVx,Nyeri County,KE_County_19,,882.0
202105,May 2021,202105,,o36zCRjSd4G,Samburu County,KE_County_25,,2101.0
202105,May 2021,202105,,u4t9H8XyU9P,Siaya County,KE_County_41,,2221.0
202105,May 2021,202105,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,783.0
202105,May 2021,202105,,JsH2bnvNt2d,Tana River County,KE_County_4,,1235.0
202105,May 2021,202105,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,993.0
202105,May 2021,202105,,mThvosEflAU,Trans Nzoia County,KE_County_26,,1697.0
202105,May 2021,202105,,kphDeKClFch,Turkana County,KE_County_23,,8710.0
202105,May 2021,202105,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,6443.0
202105,May 2021,202105,,sANMZ3lpqGs,Vihiga County,KE_County_38,,644.0
202105,May 2021,202105,,CeLsrJOH0g9,Wajir County,KE_County_8,,2960.0
202105,May 2021,202105,,XWALbfAPa6n,West Pokot County,KE_County_24,,2552.0
202106,June 2021,202106,,vvOK1BxTbet,Baringo County,KE_County_30,,2705.0
202106,June 2021,202106,,HMNARUV2CW4,Bomet County,KE_County_36,,2428.0
202106,June 2021,202106,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2888.0
202106,June 2021,202106,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1743.0
202106,June 2021,202106,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2581.0
202106,June 2021,202106,,PFu8alU2KWG,Embu County,KE_County_14,,922.0
202106,June 2021,202106,,uyOrcHZBpW0,Garissa County,KE_County_7,,1769.0
202106,June 2021,202106,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1108.0
202106,June 2021,202106,,bzOfj0iwfDH,Isiolo County,KE_County_11,,1024.0
202106,June 2021,202106,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,3053.0
202106,June 2021,202106,,BjC1xL40gHo,Kakamega County,KE_County_37,,4586.0
202106,June 2021,202106,,ihZsJ8alvtb,Kericho County,KE_County_35,,2933.0
202106,June 2021,202106,,qKzosKQPl6G,Kiambu County,KE_County_22,,4228.0
202106,June 2021,202106,,nrI2khZx3d0,Kilifi County,KE_County_3,,6633.0
202106,June 2021,202106,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,4114.0
202106,June 2021,202106,,sPkRcDvhGWA,Kisii County,KE_County_45,,2325.0
202106,June 2021,202106,,tAbBVBbueqD,Kisumu County,KE_County_42,,3343.0
202106,June 2021,202106,,j8o6iO4Njsi,Kitui County,KE_County_15,,1745.0
202106,June 2021,202106,,N7YETT3A9r1,Kwale County,KE_County_2,,2584.0
202106,June 2021,202106,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1357.0
202106,June 2021,202106,,NjWSbQTwys4,Lamu County,KE_County_5,,633.0
202106,June 2021,202106,,yhCUgGcCcOo,Machakos County,KE_County_16,,3038.0
202106,June 2021,202106,,BoDytkJQ4Qi,Makueni County,KE_County_17,,1966.0
202106,June 2021,202106,,R6f9znhg37c,Mandera County,KE_County_9,,5650.0
202106,June 2021,202106,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1613.0
202106,June 2021,202106,,Y52XNJ50hYb,Meru County,KE_County_12,,1756.0
202106,June 2021,202106,,fVra3Pwta0Q,Migori County,KE_County_44,,2245.0
202106,June 2021,202106,,wsBsC6gjHvn,Mombasa County,KE_County_1,,5232.0
202106,June 2021,202106,,ahwTMNAJvrL,Muranga County,KE_County_21,,1205.0
202106,June 2021,202106,,jkG3zaihdSs,Nairobi County,KE_County_47,,9212.0
202106,June 2021,202106,,ob6SxuRcqU4,Nakuru County,KE_County_32,,6824.0
202106,June 2021,202106,,t0J75eHKxz5,Nandi County,KE_County_29,,1771.0
202106,June 2021,202106,,kqJ83J2D72s,Narok County,KE_County_33,,2195.0
202106,June 2021,202106,,uepLTG8wGWJ,Nyamira County,KE_County_46,,779.0
202106,June 2021,202106,,mYZacFNIB3h,Nyandarua County,KE_County_18,,881.0
202106,June 2021,202106,,ptWVfaCIdVx,Nyeri County,KE_County_19,,821.0
202106,June 2021,202106,,o36zCRjSd4G,Samburu County,KE_County_25,,2231.0
202106,June 2021,202106,,u4t9H8XyU9P,Siaya County,KE_County_41,,2561.0
